data_rod,data_prev,P90cl_Tx_Mod,P90cl_Tx_Obs,Cl_Tx_Mod,Cl_Tx_Obs
20130915,20131103,31.84182739,31.04577637,26.85572955,27.94621118
20140915,20141103,31.84182739,31.04577637,26.85572955,27.94621118
20150915,20151103,31.84182739,31.04577637,26.85572955,27.94621118
20160915,20161103,31.84182739,31.04577637,26.85572955,27.94621118
20170915,20171103,31.84182739,31.04577637,26.85572955,27.94621118
20180915,20181103,31.84182739,31.04577637,26.85572955,27.94621118
20190915,20191103,31.84182739,31.04577637,26.85572955,27.94621118
20200915,20201103,31.84182739,31.04577637,26.85572955,27.94621118
20210915,20211103,31.84182739,31.04577637,26.85572955,27.94621118
20220915,20221103,31.84182739,31.04577637,26.85572955,27.94621118
20230915,20231103,31.84182739,31.04577637,26.85572955,27.94621118
20141015,20141103,29.47561035,31.04577637,26.47648625,27.94621118
20151015,20151103,29.47561035,31.04577637,26.47648625,27.94621118
20181015,20181103,29.47561035,31.04577637,26.47648625,27.94621118
20191015,20191103,29.47561035,31.04577637,26.47648625,27.94621118
20201015,20201103,29.47561035,31.04577637,26.47648625,27.94621118
20211015,20211103,29.47561035,31.04577637,26.47648625,27.94621118
20221015,20221103,29.47561035,31.04577637,26.47648625,27.94621118
20231015,20231103,29.47561035,31.04577637,26.47648625,27.94621118
